Year,Unnamed: 0,Industry,Contribution_to_GDP,Growth_of_GDP,Wage_bracket_0_to_9999,Wage_bracket_10000_to_14999,Wage_bracket_15000_to_19999,Wage_bracket_20000_to_24999,Wage_bracket_25000_to_29999,Wage_bracket_30000_to_49999,Wage_bracket_50000_to_99999,Wage_bracket_100000_plus,Total_number_in_wage_employment
2018-01-01,153,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.4,6.3,547,2203,5100,14473,7020,48082,172093,10909,260427
2018-01-01,154,Transportation And Storage,8.0,8.8,1062,605,983,11066,20822,31760,22773,1578,90649
2018-01-01,155,Accommodation And Food Service Activities,0.7,16.6,244,160,624,9886,16538,30002,21752,2347,81553
2018-01-01,156,Information And Communication,1.3,11.4,998,1022,1569,7456,14030,43493,50829,3893,123290
2018-01-01,157,Financial And Insurance Activities,6.0,5.6,1680,2498,1914,6032,3916,10067,20888,32803,79798
2018-01-01,158,Real Estate Activities,7.0,4.1,251,345,205,379,733,1252,1037,133,4335
2018-01-01,159,"Professional, Scientific And Technical Activities",0.8,5.4,3050,3221,1094,7031,20381,21270,18786,1775,76608
2018-01-01,160,Administrative And Support Service Activities,0.9,6.4,120,215,596,900,1827,1375,829,204,6066
2018-01-01,161,Public Administration And Defence; Compulsory Social Security,3.5,6.1,2053,978,24814,11402,29555,178901,38295,9011,295009
2018-01-01,162,Education,4.3,5.8,2327,3331,15555,12772,25193,265031,204814,47808,576831
2018-01-01,163,Human Health And Social Work Activities,1.5,4.5,1680,960,6108,17810,36788,65229,17572,4287,150434
2018-01-01,164,"Arts, Entertainment And Recreation",0.1,6.4,1680,46,857,1446,2277,1188,878,550,8922
2018-01-01,165,Other Service Activities,0.6,6.7,1680,552,1735,4490,11270,11251,6312,722,38012
2018-01-01,166,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.4,1.6,1680,316,911,17245,15082,53200,29083,4186,121703
2018-01-01,167,Activities Of Extraterritorial Organizations And Bodies,-1.9,1.1,1680,2498,9143,17074,20948,34258,28868,4186,118655
